item_id,action,topic,intent,target_url,suggested_url,page_type,priority,evidence,recommendation
cp-001,update_or_create,Услуги эвакуатора,core_answer,evakuator.uz,/услуги-эвакуатора/,focused_topic_page,high,core topic and fan-out root,"Create or update a focused answer page with clear title, H1, intro, short answer, criteria, risks, and FAQ only if useful."
cp-002,section_or_separate_page_after_overlap_check,эвакуатор ташкент comparison,comparison,,/эвакуатор-ташкент-comparison/,supporting_qfo_module,high,fan-out branch,Use as a page section unless SERP/AI evidence proves a materially distinct user task.
cp-003,section_or_separate_page_after_overlap_check,эвакуатор ташкент cost,cost,,/эвакуатор-ташкент-cost/,supporting_qfo_module,medium,fan-out branch,Use as a page section unless SERP/AI evidence proves a materially distinct user task.
cp-004,section_or_separate_page_after_overlap_check,эвакуатор ташкент risks,risks,,/эвакуатор-ташкент-risks/,supporting_qfo_module,medium,fan-out branch,Use as a page section unless SERP/AI evidence proves a materially distinct user task.
cp-005,section_or_separate_page_after_overlap_check,эвакуатор ташкент alternatives,alternatives,,/эвакуатор-ташкент-alternatives/,supporting_qfo_module,medium,fan-out branch,Use as a page section unless SERP/AI evidence proves a materially distinct user task.
cp-006,section_or_separate_page_after_overlap_check,how to choose эвакуатор ташкент,process,,/how-to-choose-эвакуатор-ташкент/,supporting_qfo_module,medium,fan-out branch,Use as a page section unless SERP/AI evidence proves a materially distinct user task.
cp-007,section_or_separate_page_after_overlap_check,evakuator comparison,comparison,,/evakuator-comparison/,supporting_qfo_module,high,fan-out branch,Use as a page section unless SERP/AI evidence proves a materially distinct user task.
cp-008,section_or_separate_page_after_overlap_check,evakuator cost,cost,,/evakuator-cost/,supporting_qfo_module,medium,fan-out branch,Use as a page section unless SERP/AI evidence proves a materially distinct user task.
cp-009,section_or_separate_page_after_overlap_check,evakuator risks,risks,,/evakuator-risks/,supporting_qfo_module,medium,fan-out branch,Use as a page section unless SERP/AI evidence proves a materially distinct user task.
cp-010,section_or_separate_page_after_overlap_check,evakuator alternatives,alternatives,,/evakuator-alternatives/,supporting_qfo_module,medium,fan-out branch,Use as a page section unless SERP/AI evidence proves a materially distinct user task.
