source_order,source_query,fanout_query,branch,priority,status
1,эвакуатор ташкент,what is эвакуатор ташкент,core_answer,high,draft
2,эвакуатор ташкент,эвакуатор ташкент comparison,comparison,high,draft
3,эвакуатор ташкент,эвакуатор ташкент cost,cost,medium,draft
4,эвакуатор ташкент,эвакуатор ташкент risks,risks,medium,draft
5,эвакуатор ташкент,эвакуатор ташкент alternatives,alternatives,medium,draft
6,эвакуатор ташкент,эвакуатор ташкент requirements,requirements,medium,draft
7,эвакуатор ташкент,how to choose эвакуатор ташкент,process,high,draft
8,эвакуатор ташкент,эвакуатор ташкент mistakes,mistakes,medium,draft
9,эвакуатор ташкент,эвакуатор ташкент questions,faq,medium,draft
10,эвакуатор ташкент,эвакуатор ташкент in Moscow,local,medium,draft
11,evakuator,what is evakuator,core_answer,high,draft
12,evakuator,evakuator comparison,comparison,high,draft
13,evakuator,evakuator cost,cost,medium,draft
14,evakuator,evakuator risks,risks,medium,draft
15,evakuator,evakuator alternatives,alternatives,medium,draft
16,evakuator,evakuator requirements,requirements,medium,draft
17,evakuator,how to choose evakuator,process,high,draft
18,evakuator,evakuator mistakes,mistakes,medium,draft
19,evakuator,evakuator questions,faq,medium,draft
20,evakuator,evakuator in Moscow,local,medium,draft
21,эвакуатор,what is эвакуатор,core_answer,high,draft
22,эвакуатор,эвакуатор comparison,comparison,high,draft
23,эвакуатор,эвакуатор cost,cost,medium,draft
24,эвакуатор,эвакуатор risks,risks,medium,draft
25,эвакуатор,эвакуатор alternatives,alternatives,medium,draft
26,эвакуатор,эвакуатор requirements,requirements,medium,draft
27,эвакуатор,how to choose эвакуатор,process,high,draft
28,эвакуатор,эвакуатор mistakes,mistakes,medium,draft
29,эвакуатор,эвакуатор questions,faq,medium,draft
30,эвакуатор,эвакуатор in Moscow,local,medium,draft
31,evakuator xizmati,what is evakuator xizmati,core_answer,high,draft
32,evakuator xizmati,evakuator xizmati comparison,comparison,high,draft
33,evakuator xizmati,evakuator xizmati cost,cost,medium,draft
34,evakuator xizmati,evakuator xizmati risks,risks,medium,draft
35,evakuator xizmati,evakuator xizmati alternatives,alternatives,medium,draft
36,evakuator xizmati,evakuator xizmati requirements,requirements,medium,draft
37,evakuator xizmati,how to choose evakuator xizmati,process,high,draft
38,evakuator xizmati,evakuator xizmati mistakes,mistakes,medium,draft
39,evakuator xizmati,evakuator xizmati questions,faq,medium,draft
40,evakuator xizmati,evakuator xizmati in Moscow,local,medium,draft
41,вызвать эвакуатор,what is вызвать эвакуатор,core_answer,high,draft
42,вызвать эвакуатор,вызвать эвакуатор comparison,comparison,high,draft
43,вызвать эвакуатор,вызвать эвакуатор cost,cost,medium,draft
44,вызвать эвакуатор,вызвать эвакуатор risks,risks,medium,draft
45,вызвать эвакуатор,вызвать эвакуатор alternatives,alternatives,medium,draft
46,вызвать эвакуатор,вызвать эвакуатор requirements,requirements,medium,draft
47,вызвать эвакуатор,how to choose вызвать эвакуатор,process,high,draft
48,вызвать эвакуатор,вызвать эвакуатор mistakes,mistakes,medium,draft
49,вызвать эвакуатор,вызвать эвакуатор questions,faq,medium,draft
50,вызвать эвакуатор,вызвать эвакуатор in Moscow,local,medium,draft
51,эвакуатор в ташкенте,what is эвакуатор в ташкенте,core_answer,high,draft
52,эвакуатор в ташкенте,эвакуатор в ташкенте comparison,comparison,high,draft
53,эвакуатор в ташкенте,эвакуатор в ташкенте cost,cost,medium,draft
54,эвакуатор в ташкенте,эвакуатор в ташкенте risks,risks,medium,draft
55,эвакуатор в ташкенте,эвакуатор в ташкенте alternatives,alternatives,medium,draft
56,эвакуатор в ташкенте,эвакуатор в ташкенте requirements,requirements,medium,draft
57,эвакуатор в ташкенте,how to choose эвакуатор в ташкенте,process,high,draft
58,эвакуатор в ташкенте,эвакуатор в ташкенте mistakes,mistakes,medium,draft
59,эвакуатор в ташкенте,эвакуатор в ташкенте questions,faq,medium,draft
60,эвакуатор в ташкенте,эвакуатор в ташкенте in Moscow,local,medium,draft
61,evakuator xizmati toshkent,what is evakuator xizmati toshkent,core_answer,high,draft
62,evakuator xizmati toshkent,evakuator xizmati toshkent comparison,comparison,high,draft
63,evakuator xizmati toshkent,evakuator xizmati toshkent cost,cost,medium,draft
64,evakuator xizmati toshkent,evakuator xizmati toshkent risks,risks,medium,draft
65,evakuator xizmati toshkent,evakuator xizmati toshkent alternatives,alternatives,medium,draft
66,evakuator xizmati toshkent,evakuator xizmati toshkent requirements,requirements,medium,draft
67,evakuator xizmati toshkent,how to choose evakuator xizmati toshkent,process,high,draft
68,evakuator xizmati toshkent,evakuator xizmati toshkent mistakes,mistakes,medium,draft
69,evakuator xizmati toshkent,evakuator xizmati toshkent questions,faq,medium,draft
70,evakuator xizmati toshkent,evakuator xizmati toshkent in Moscow,local,medium,draft
71,эвакуатор машин,what is эвакуатор машин,core_answer,high,draft
72,эвакуатор машин,эвакуатор машин comparison,comparison,high,draft
73,эвакуатор машин,эвакуатор машин cost,cost,medium,draft
74,эвакуатор машин,эвакуатор машин risks,risks,medium,draft
75,эвакуатор машин,эвакуатор машин alternatives,alternatives,medium,draft
76,эвакуатор машин,эвакуатор машин requirements,requirements,medium,draft
77,эвакуатор машин,how to choose эвакуатор машин,process,high,draft
78,эвакуатор машин,эвакуатор машин mistakes,mistakes,medium,draft
79,эвакуатор машин,эвакуатор машин questions,faq,medium,draft
80,эвакуатор машин,эвакуатор машин in Moscow,local,medium,draft
81,evakuator tashkent,what is evakuator tashkent,core_answer,high,draft
82,evakuator tashkent,evakuator tashkent comparison,comparison,high,draft
83,evakuator tashkent,evakuator tashkent cost,cost,medium,draft
84,evakuator tashkent,evakuator tashkent risks,risks,medium,draft
85,evakuator tashkent,evakuator tashkent alternatives,alternatives,medium,draft
